# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  121       4.560694911492e-10       1.389523303584e-13      -4.900967403028e-12       0.000000000000e+00       6.110046187072e-12       9.402718063878e-13      -5.762670981009e-15 
  122       4.606898621404e-10       1.401224494744e-13      -4.976067372109e-12       0.000000000000e+00       5.974241047782e-12       9.241927648337e-13      -5.695280658100e-15 
  123       4.653192600962e-10       1.412361938091e-13      -5.049676830586e-12       0.000000000000e+00       5.841870981128e-12       9.084676760693e-13      -5.628488398007e-15 
  124       4.699568615777e-10       1.422924283829e-13      -5.121724156759e-12       0.000000000000e+00       5.712888844489e-12       8.930926691738e-13      -5.562319533109e-15 
  125       4.746019422567e-10       1.432901138320e-13      -5.192138778772e-12       0.000000000000e+00       5.587308281066e-12       8.780707206760e-13      -5.496779807746e-15 
  126       4.792537078227e-10       1.442282616334e-13      -5.260850375621e-12       0.000000000000e+00       5.465126190869e-12       8.634029158751e-13      -5.431867584425e-15 
  127       4.839112919524e-10       1.451059356932e-13      -5.327788912330e-12       0.000000000000e+00       5.346322243649e-12       8.490883924073e-13      -5.367573619434e-15 
  128       4.885737542774e-10       1.459222539341e-13      -5.392884675132e-12       0.000000000000e+00       5.230858391833e-12       8.351242838117e-13      -5.303880838452e-15 
  129       4.932400783535e-10       1.466763898835e-13      -5.456068306656e-12       0.000000000000e+00       5.118678383459e-12       8.215056630972e-13      -5.240764112167e-15 
  130       4.979091696284e-10       1.473675742612e-13      -5.517270841103e-12       0.000000000000e+00       5.009707275109e-12       8.082254863080e-13      -5.178190031888e-15 
  131       5.025798534109e-10       1.479950965677e-13      -5.576423739431e-12       0.000000000000e+00       4.903850944842e-12       7.952745360905e-13      -5.116116685155e-15 
  132       5.072508728390e-10       1.485583066718e-13      -5.633458924536e-12       0.000000000000e+00       4.800995605126e-12       7.826413652596e-13      -5.054493431357e-15 
  133       5.119208868486e-10       1.490566163983e-13      -5.688308816430e-12       0.000000000000e+00       4.701007315778e-12       7.703122403644e-13      -4.993260677342e-15 
  134       5.165884681422e-10       1.494895011164e-13      -5.740906367427e-12       0.000000000000e+00       4.603731496892e-12       7.582710852552e-13      -4.932349653033e-15 
  135       5.212521011568e-10       1.498565013273e-13      -5.791185097325e-12       0.000000000000e+00       4.508992441773e-12       7.464994246493e-13      -4.871682187041e-15 
  136       5.259101800333e-10       1.501572242520e-13      -5.839079128581e-12       0.000000000000e+00       4.416592829876e-12       7.349763276977e-13      -4.811170482273e-15 
  137       5.305611498814e-10       1.503913732384e-13      -5.884523879168e-12       0.000000000000e+00       4.326355597615e-12       7.236828718164e-13      -4.750733846807e-15 
  138       5.352039513766e-10       1.505588360545e-13      -5.927458147567e-12       0.000000000000e+00       4.238255471851e-12       7.126161749629e-13      -4.690351315428e-15 
  139       5.398376185325e-10       1.506596087847e-13      -5.967822311235e-12       0.000000000000e+00       4.152300187251e-12       7.017767151675e-13      -4.630014073224e-15 
  140       5.444611384199e-10       1.506937705792e-13      -6.005557727289e-12       0.000000000000e+00       4.068489133475e-12       6.911639130694e-13      -4.569708873230e-15 
  141       5.490734500447e-10       1.506614854178e-13      -6.040606771855e-12       0.000000000000e+00       3.986813136964e-12       6.807761041733e-13      -4.509417919655e-15 
  142       5.536734432265e-10       1.505630038750e-13      -6.072912879432e-12       0.000000000000e+00       3.907254242730e-12       6.706105111074e-13      -4.449118751121e-15 
  143       5.582599574760e-10       1.503986648841e-13      -6.102420582242e-12       0.000000000000e+00       3.829785496140e-12       6.606632158802e-13      -4.388784123888e-15 
  144       5.628317808735e-10       1.501688975017e-13      -6.129075549589e-12       0.000000000000e+00       3.754370724704e-12       6.509291321383e-13      -4.328381895087e-15 
  145       5.673876489467e-10       1.498742226723e-13      -6.152824627215e-12       0.000000000000e+00       3.680964319865e-12       6.414019774230e-13      -4.267874905954e-15 
  146       5.719262435491e-10       1.495152549927e-13      -6.173615876651e-12       0.000000000000e+00       3.609511018782e-12       6.320742454281e-13      -4.207220865061e-15 
  147       5.764461917376e-10       1.490927044764e-13      -6.191398614580e-12       0.000000000000e+00       3.539945686121e-12       6.229371782573e-13      -4.146372231544e-15 
  148       5.809460646508e-10       1.486073783182e-13      -6.206123452189e-12       0.000000000000e+00       3.472193095842e-12       6.139807386807e-13      -4.085276098339e-15 
  149       5.854243763872e-10       1.480601826587e-13      -6.217742334524e-12       0.000000000000e+00       3.406167712985e-12       6.051935823930e-13      -4.023874075412e-15 
  150       5.898795828827e-10       1.474521243485e-13      -6.226208579847e-12       0.000000000000e+00       3.341773475456e-12       5.965630302702e-13      -3.962102172989e-15 
  151       5.943100807896e-10       1.467843127129e-13      -6.231476918994e-12       0.000000000000e+00       3.278903575818e-12       5.880750406272e-13      -3.899890684791e-15 
  152       5.987142063536e-10       1.460579613164e-13      -6.233503534727e-12       0.000000000000e+00       3.217440243076e-12       5.797141814748e-13      -3.837164071262e-15 
  153       6.030903566080e-10       1.452743744992e-13      -6.232246331627e-12       0.000000000000e+00       3.157279092105e-12       5.714672021621e-13      -3.773866737688e-15 
  154       6.074373679887e-10       1.444349018661e-13      -6.227665691150e-12       0.000000000000e+00       3.098405177513e-12       5.633341801937e-13      -3.710043310051e-15 
  155       6.117541709308e-10       1.435409829127e-13      -6.219723862110e-12       0.000000000000e+00       3.040823624861e-12       5.553183622935e-13      -3.645765631876e-15 
  156       6.160396702212e-10       1.425941635455e-13      -6.208384776638e-12       0.000000000000e+00       2.984535605968e-12       5.474226487932e-13      -3.581107554861e-15 
  157       6.202927444997e-10       1.415960977691e-13      -6.193614090715e-12       0.000000000000e+00       2.929538245817e-12       5.396495842213e-13      -3.516144953988e-15 
  158       6.245122457595e-10       1.405485493729e-13      -6.175379224699e-12       0.000000000000e+00       2.875824529466e-12       5.320013478917e-13      -3.450955742633e-15 
  159       6.286969988487e-10       1.394533936181e-13      -6.153649403861e-12       0.000000000000e+00       2.823383208957e-12       5.244797444928e-13      -3.385619887683e-15 
